날짜,사번,이름,전화번호,핸드폰 기종,모델넘버,스테이터스,앱 접근 기록,ground_truth
2025-02-03 07:27:03,M55073,이진호,051-594-7328,iPhone 13,SM-G991N,차단됨,정상,0
2025-01-31 20:02:18,M47586,조옥자,02-7702-4571,LG Velvet,SM-G991N,위험 감지,마이크 사용,0
2025-03-11 20:11:37,M71498,김은정,064-727-3387,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-07-03 23:06:16,M80136,김지훈,052-819-9601,LG Velvet,A2633,위험 감지,위치 정보 요청,0
2025-01-30 05:01:55,M11090,최준영,041-651-9899,LG Velvet,A2633,위험 감지,마이크 사용,0
2025-01-27 13:16:40,M74478,홍하윤,032-323-1831,iPhone 13,A2633,위험 감지,카메라 접근,0
2025-07-01 19:17:17,M72530,최숙자,044-562-7030,Galaxy S21,LM-G910N,위험 감지,카메라 접근,0
2025-05-14 07:26:31,M49270,오정식,061-330-4031,iPhone 13,SM-G991N,차단됨,정상,0
2025-05-31 02:05:51,M11197,이성수,031-217-5281,iPhone 13,SM-G991N,차단됨,카메라 접근,0
2025-02-10 12:31:52,M66418,허정자,044-862-9990,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-03-08 07:51:56,M48393,김영수,054-223-4868,Galaxy Note20,LM-G910N,정상,정상,0
2025-03-01 14:17:22,M88250,김시우,062-174-3834,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-01-07 16:06:03,M40305,한진호,051-846-9395,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-04-05 09:32:08,M10946,류영호,041-761-0951,Galaxy S21,A2633,위험 감지,마이크 사용,0
2025-06-15 08:41:17,M81855,고재호,043-075-9310,LG Velvet,A2633,위험 감지,위치 정보 요청,0
2025-01-11 17:22:15,M58974,윤영길,064-795-3280,Galaxy S21,SM-G991N,차단됨,정상,0
2025-02-25 03:43:08,M34716,이예진,018-949-8339,Galaxy S21,SM-G991N,위험 감지,정상,0
2025-07-12 18:21:13,M63967,최지연,031-227-6413,LG Velvet,SM-G991N,정상,정상,0
2025-04-10 12:03:20,M83472,고은영,033-709-2151,Galaxy Note20,A2633,차단됨,위치 정보 요청,1
2025-04-19 06:55:24,M67292,송예원,033-380-2369,Galaxy S21,A2633,위험 감지,카메라 접근,0
2025-01-03 23:29:00,M61740,한시우,042-941-5310,Galaxy S21,LM-G910N,정상,카메라 접근,0
2025-03-14 11:00:49,M42754,이지민,051-634-5481,LG Velvet,A2633,차단됨,마이크 사용,0
2025-01-27 16:40:03,M31400,정성수,010-3744-8233,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-06-30 12:06:43,M94671,김지후,063-972-2154,LG Velvet,SM-G991N,차단됨,카메라 접근,0
2025-01-14 09:55:51,M61081,김경희,055-402-1109,iPhone 13,A2633,위험 감지,정상,0
2025-01-23 17:50:41,M59592,안영순,031-823-1615,LG Velvet,SM-N986N,위험 감지,정상,0
2025-04-17 10:29:51,M38913,엄준영,061-256-6999,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-05-20 15:33:17,M44469,김영미,011-817-8532,iPhone 13,A2633,위험 감지,정상,0
2025-03-02 07:15:39,M20382,김순자,052-885-3780,LG Velvet,SM-N986N,위험 감지,정상,0
2025-03-24 04:52:53,M65343,김영희,016-836-1391,LG Velvet,SM-G991N,차단됨,마이크 사용,0
2025-07-12 01:55:45,M91962,김광수,062-838-3140,LG Velvet,A2633,정상,카메라 접근,0
2025-06-17 21:37:52,M41399,박동현,031-763-7917,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-01-25 01:38:23,M77713,정미영,041-412-2498,Galaxy S21,SM-N986N,위험 감지,카메라 접근,0
2025-03-03 12:01:53,M90375,김경수,062-198-2431,LG Velvet,SM-N986N,차단됨,정상,0
2025-02-25 02:04:58,M99737,조동현,041-216-4948,iPhone 13,A2633,위험 감지,카메라 접근,0
2025-02-05 01:00:04,M45633,이정웅,051-089-0756,iPhone 13,A2633,차단됨,카메라 접근,0
2025-06-28 03:53:38,M47313,이건우,051-300-4554,LG Velvet,SM-N986N,정상,정상,0
2025-03-28 20:39:28,M94994,김은서,019-630-1474,Galaxy S21,SM-G991N,정상,위치 정보 요청,0
2025-02-11 12:23:47,M79722,김현준,051-018-8366,Galaxy S21,LM-G910N,차단됨,정상,0
2025-05-06 15:43:53,M45235,이숙자,011-460-9989,Galaxy S21,SM-G991N,정상,마이크 사용,0
2025-01-17 23:05:28,M64120,안지연,016-797-8466,iPhone 13,SM-N986N,차단됨,마이크 사용,0
2025-04-17 10:28:59,M34641,권옥순,016-751-4258,LG Velvet,SM-G991N,차단됨,카메라 접근,0
2025-07-03 12:01:29,M18973,홍수진,011-290-5823,LG Velvet,A2633,차단됨,카메라 접근,0
2025-01-20 10:37:32,M33908,구영희,042-992-9546,LG Velvet,SM-N986N,위험 감지,위치 정보 요청,0
2025-06-16 08:06:24,M27907,차준영,062-313-0077,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-06-08 01:42:06,M47957,구동현,010-9602-6674,LG Velvet,LM-G910N,차단됨,정상,0
2025-05-16 19:14:48,M24464,박건우,042-340-3509,iPhone 13,SM-G991N,정상,카메라 접근,0
2025-03-11 19:32:25,M93478,홍은서,044-705-9974,iPhone 13,SM-G991N,차단됨,카메라 접근,0
2025-07-02 00:40:26,M69682,박수빈,064-734-2868,Galaxy S21,LM-G910N,차단됨,정상,0
2025-04-10 04:43:11,M90967,구지현,062-782-0441,LG Velvet,SM-N986N,정상,마이크 사용,0
2025-06-07 08:29:14,M69345,권지연,055-673-5044,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-02-22 00:15:46,M45669,이숙자,053-671-9802,Galaxy Note20,SM-N986N,차단됨,카메라 접근,0
2025-06-01 01:22:25,M91625,이선영,070-1932-4128,Galaxy S21,LM-G910N,차단됨,정상,0
2025-01-28 17:20:44,M74486,이은정,032-448-3850,iPhone 13,SM-N986N,차단됨,위치 정보 요청,0
2025-07-07 23:08:35,M34613,이유진,016-396-9836,Galaxy S21,LM-G910N,정상,마이크 사용,0
2025-04-26 00:59:35,M52027,강정식,032-853-6681,Galaxy Note20,SM-N986N,차단됨,정상,0
2025-01-16 23:24:09,M12542,박보람,044-021-1144,Galaxy S21,A2633,차단됨,위치 정보 요청,0
2025-02-21 14:02:01,M29942,강현지,010-8621-0602,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-06-06 02:36:25,M16505,이민준,016-732-1755,Galaxy Note20,LM-G910N,위험 감지,위치 정보 요청,0
2025-07-14 00:41:52,M80119,류보람,053-737-5641,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-05-02 02:55:31,M12900,이우진,033-938-8164,Galaxy S21,A2633,정상,정상,0
2025-06-07 14:07:41,M34371,이영식,043-840-5643,Galaxy Note20,SM-G991N,정상,마이크 사용,0
2025-04-17 10:16:25,M23405,노순옥,033-652-9983,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-01-24 05:21:31,M46977,김현우,016-355-9707,iPhone 13,LM-G910N,차단됨,정상,0
2025-04-17 00:37:19,M45283,이민수,064-787-4540,Galaxy Note20,A2633,정상,정상,0
2025-05-14 08:34:04,M26389,강정훈,042-718-5043,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-03-27 16:31:10,M67464,김영순,017-057-7147,LG Velvet,SM-N986N,위험 감지,위치 정보 요청,0
2025-06-20 21:24:49,M11075,박승현,051-338-5085,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-04-09 19:43:32,M40514,윤정수,031-910-8826,iPhone 13,SM-N986N,정상,위치 정보 요청,0
2025-05-05 06:52:24,M21822,강승민,031-671-7724,Galaxy S21,SM-N986N,차단됨,정상,0
2025-05-06 16:43:09,M29750,박재호,053-087-3475,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-07-11 09:40:37,M11930,김승현,052-827-2661,iPhone 13,SM-G991N,위험 감지,마이크 사용,0
2025-01-26 09:53:42,M74694,김진우,043-436-3730,Galaxy S21,A2633,정상,정상,0
2025-04-01 16:10:55,M38467,김미정,041-163-2355,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-05-02 18:31:44,M54815,강성훈,041-800-0268,Galaxy S21,SM-N986N,차단됨,위치 정보 요청,0
2025-05-12 03:00:46,M65082,김숙자,011-362-4870,Galaxy Note20,SM-G991N,위험 감지,카메라 접근,0
2025-05-31 06:01:31,M50838,성영철,041-848-6249,LG Velvet,A2633,위험 감지,마이크 사용,0
2025-05-21 23:31:35,M75325,배정순,054-932-4696,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-06-24 15:30:35,M58679,서서윤,063-517-1267,Galaxy Note20,LM-G910N,정상,마이크 사용,0
2025-07-02 06:49:44,M70776,고성민,011-719-7853,iPhone 13,A2633,위험 감지,위치 정보 요청,0
2025-01-29 02:37:37,M14159,김현지,010-4247-9461,iPhone 13,LM-G910N,정상,정상,0
2025-07-02 09:33:35,M53286,문정자,017-040-3751,iPhone 13,A2633,위험 감지,마이크 사용,0
2025-02-07 21:21:08,M20515,안경수,042-973-5891,LG Velvet,SM-N986N,위험 감지,정상,0
2025-04-16 22:53:51,M29148,김서윤,031-409-9009,LG Velvet,SM-G991N,정상,위치 정보 요청,0
2025-03-25 22:50:47,M17345,손우진,010-0620-6663,Galaxy Note20,A2633,위험 감지,위치 정보 요청,0
2025-01-07 13:08:16,M44931,고은지,031-874-7207,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-06-19 13:20:39,M61435,김경자,042-216-8619,LG Velvet,SM-N986N,차단됨,정상,0
2025-04-11 07:55:25,M19356,정명숙,064-701-6854,LG Velvet,LM-G910N,위험 감지,카메라 접근,0
2025-02-19 17:22:28,M81197,하영진,044-055-7761,Galaxy Note20,LM-G910N,위험 감지,정상,1
2025-06-17 06:40:22,M71623,김지훈,053-645-1278,Galaxy Note20,SM-N986N,위험 감지,정상,1
2025-06-28 08:05:28,M33803,남하윤,055-349-6566,Galaxy S21,LM-G910N,정상,마이크 사용,0
2025-04-01 08:24:23,M35191,구서연,011-673-4985,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-01-14 19:51:37,M42778,이민수,033-822-5957,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-03-10 21:59:45,M60014,양지영,018-064-2973,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-01-20 18:43:35,M11653,황정남,055-232-0268,LG Velvet,LM-G910N,정상,정상,0
2025-07-04 21:43:58,M25985,홍승현,011-957-7158,Galaxy Note20,A2633,위험 감지,정상,0
2025-07-15 20:56:27,M42631,이성현,019-159-8318,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-05-24 22:25:00,M60436,이성훈,033-943-0124,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-05-12 04:45:21,M68059,권성수,064-778-4527,LG Velvet,SM-G991N,위험 감지,위치 정보 요청,0
2025-04-13 20:32:41,M42396,박지훈,055-861-2184,LG Velvet,LM-G910N,정상,마이크 사용,0
2025-04-17 10:23:30,M14392,이예은,041-102-6097,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-04-23 15:03:06,M36106,김수진,064-733-9770,Galaxy S21,SM-N986N,위험 감지,카메라 접근,0
2025-02-28 21:18:59,M70402,서건우,052-269-6619,Galaxy Note20,A2633,위험 감지,위치 정보 요청,0
2025-02-07 06:32:14,M22315,양옥자,02-8634-9891,Galaxy S21,A2633,차단됨,카메라 접근,1
2025-04-02 13:29:44,M78306,이경수,043-098-9274,LG Velvet,SM-G991N,정상,정상,0
2025-03-26 11:13:00,M97294,이준혁,016-352-3607,Galaxy S21,SM-G991N,정상,카메라 접근,0
2025-05-10 09:35:12,M37321,김우진,053-742-9022,LG Velvet,SM-G991N,차단됨,위치 정보 요청,0
2025-05-10 22:06:09,M71974,성정수,011-196-2875,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-01-25 08:10:06,M61003,김정웅,053-380-3318,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-04-30 04:48:36,M99318,김정순,042-693-6718,Galaxy Note20,SM-G991N,정상,마이크 사용,0
2025-06-25 19:49:46,M50908,서서영,053-790-0772,iPhone 13,A2633,차단됨,마이크 사용,0
2025-01-13 02:16:51,M52344,김성호,064-738-8169,iPhone 13,SM-N986N,정상,정상,0
2025-04-03 10:12:01,M30789,이지후,042-465-5042,iPhone 13,LM-G910N,위험 감지,위치 정보 요청,0
2025-03-30 15:31:29,M92465,홍혜진,064-726-0957,Galaxy Note20,A2633,위험 감지,마이크 사용,0
2025-07-11 16:48:33,M15529,강지원,018-735-7139,Galaxy Note20,LM-G910N,정상,정상,0
2025-02-06 01:26:04,M82034,박미경,016-889-6160,Galaxy S21,SM-G991N,위험 감지,카메라 접근,0
2025-03-17 12:45:18,M78278,이우진,042-459-8963,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-06-17 04:15:14,M26009,이정자,062-116-8293,iPhone 13,SM-N986N,위험 감지,마이크 사용,0
2025-01-08 12:07:35,M43202,권도윤,054-931-0999,Galaxy Note20,SM-N986N,위험 감지,카메라 접근,0
2025-03-01 17:31:55,M73075,이영식,016-419-9475,Galaxy Note20,A2633,위험 감지,카메라 접근,0
2025-06-29 15:45:33,M93692,이순자,043-478-1637,LG Velvet,LM-G910N,위험 감지,정상,0
2025-04-12 12:59:38,M49166,강서영,011-837-6947,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-06-13 07:05:28,M36047,박채원,044-430-4234,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-02-13 08:08:07,M57241,안예은,061-277-6553,Galaxy S21,LM-G910N,정상,위치 정보 요청,0
2025-07-05 15:16:19,M16827,한우진,052-760-8045,Galaxy Note20,LM-G910N,정상,마이크 사용,0
2025-04-16 09:59:13,M97385,김수빈,044-308-9923,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-06-25 16:02:52,M38545,김성진,041-621-1244,Galaxy Note20,SM-G991N,차단됨,위치 정보 요청,0
2025-05-03 16:32:59,M24801,윤보람,070-8864-8822,LG Velvet,SM-N986N,정상,정상,0
2025-03-21 02:52:44,M40928,양예진,064-731-3070,Galaxy S21,SM-G991N,위험 감지,정상,0
2025-05-27 10:02:07,M92956,윤광수,016-048-6634,Galaxy Note20,SM-N986N,차단됨,위치 정보 요청,0
2025-04-04 22:35:00,M66906,박지민,054-444-8647,iPhone 13,SM-N986N,차단됨,정상,0
2025-01-18 15:53:49,M52534,박숙자,032-006-7571,LG Velvet,LM-G910N,위험 감지,카메라 접근,0
2025-06-30 11:51:53,M11974,이정수,033-707-9439,Galaxy Note20,SM-N986N,정상,정상,0
2025-06-22 04:54:07,M31936,최숙자,031-234-3101,Galaxy S21,SM-N986N,위험 감지,카메라 접근,0
2025-04-02 03:55:36,M46188,김정호,041-559-5934,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-06-19 09:16:36,M86637,박정희,070-3610-4465,Galaxy Note20,SM-G991N,위험 감지,카메라 접근,0
2025-05-13 11:55:39,M25682,김영수,042-550-5951,LG Velvet,SM-G991N,위험 감지,정상,0
2025-06-07 04:22:41,M61879,김정수,02-9025-2801,Galaxy Note20,A2633,차단됨,카메라 접근,0
2025-05-29 03:57:28,M41862,윤윤서,051-674-8581,Galaxy S21,LM-G910N,위험 감지,카메라 접근,0
2025-05-03 02:56:39,M11170,장은영,042-104-9504,Galaxy S21,A2633,정상,카메라 접근,0
2025-02-21 02:59:53,M15504,김수민,016-818-8544,iPhone 13,SM-N986N,위험 감지,정상,0
2025-01-27 17:13:16,M86162,손수진,042-631-1797,iPhone 13,SM-N986N,정상,위치 정보 요청,0
2025-07-13 07:00:06,M72294,김은정,016-568-0482,Galaxy S21,A2633,위험 감지,위치 정보 요청,0
2025-04-21 02:27:13,M88146,장주원,051-499-4742,iPhone 13,LM-G910N,차단됨,마이크 사용,0
2025-01-08 16:23:09,M30315,장종수,032-651-2657,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-02-09 06:11:05,M58679,안진호,018-662-9204,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-01-23 22:03:58,M21728,김정숙,031-510-9573,LG Velvet,SM-G991N,위험 감지,카메라 접근,0
2025-04-12 03:38:56,M42600,박순옥,043-131-8017,Galaxy Note20,SM-N986N,차단됨,위치 정보 요청,0
2025-01-05 09:06:27,M30669,신정희,017-262-4930,Galaxy Note20,SM-N986N,차단됨,카메라 접근,0
2025-06-22 03:28:22,M75525,손민서,063-250-4847,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-05-08 15:14:47,M21980,신준혁,016-688-6441,iPhone 13,A2633,정상,마이크 사용,0
2025-03-27 08:30:12,M99908,김영수,055-627-4295,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-02-27 20:42:44,M91087,최순옥,033-825-5431,LG Velvet,SM-N986N,차단됨,위치 정보 요청,0
2025-07-11 03:01:10,M54357,고지은,011-746-6818,LG Velvet,LM-G910N,차단됨,카메라 접근,0
2025-01-17 12:43:09,M91937,최예준,054-860-4020,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-06-20 20:41:28,M17871,양성현,017-031-2805,LG Velvet,SM-N986N,위험 감지,위치 정보 요청,0
2025-02-12 15:17:18,M17834,박지훈,011-546-9391,Galaxy S21,LM-G910N,차단됨,정상,0
2025-04-10 23:40:42,M56598,이정수,043-488-2539,Galaxy S21,LM-G910N,위험 감지,마이크 사용,0
2025-04-24 21:33:48,M94485,박현준,011-133-0912,Galaxy Note20,LM-G910N,위험 감지,위치 정보 요청,0
2025-05-28 00:51:02,M30174,김영순,019-795-6057,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-06-19 06:26:24,M80300,이혜진,043-893-4192,LG Velvet,SM-G991N,차단됨,카메라 접근,0
2025-01-11 16:31:21,M24076,권서연,063-881-5952,Galaxy S21,SM-G991N,차단됨,위치 정보 요청,0
2025-07-09 06:07:23,M26492,한성현,031-051-5530,LG Velvet,A2633,정상,위치 정보 요청,0
2025-01-26 18:33:17,M73942,박명숙,070-4739-9227,Galaxy S21,LM-G910N,정상,위치 정보 요청,0
2025-06-14 06:30:44,M40497,이영철,063-872-8526,Galaxy S21,LM-G910N,위험 감지,위치 정보 요청,0
2025-03-29 23:07:37,M51515,이미영,033-738-8962,LG Velvet,SM-G991N,차단됨,카메라 접근,0
2025-01-10 21:11:14,M83184,박지아,033-620-0918,Galaxy S21,LM-G910N,정상,위치 정보 요청,0
2025-02-24 21:06:03,M94495,이영미,064-765-7952,LG Velvet,SM-N986N,정상,정상,0
2025-07-09 01:10:54,M55523,지예은,043-347-0686,Galaxy S21,SM-G991N,차단됨,위치 정보 요청,0
2025-04-20 16:12:50,M67503,김수민,042-152-6806,iPhone 13,SM-N986N,위험 감지,위치 정보 요청,0
2025-03-11 15:09:31,M35292,이춘자,054-694-2381,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-04-14 12:12:32,M12798,황지훈,062-904-8247,Galaxy Note20,LM-G910N,위험 감지,마이크 사용,0
2025-04-12 07:39:12,M59514,김재호,061-694-1989,LG Velvet,SM-N986N,정상,카메라 접근,0
2025-05-06 22:40:38,M56945,김영수,031-126-7178,Galaxy Note20,LM-G910N,정상,카메라 접근,0
2025-01-31 23:00:37,M27659,이은지,054-545-9007,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-06-02 00:21:33,M42859,오은지,055-751-5512,Galaxy Note20,A2633,차단됨,위치 정보 요청,1
2025-02-21 03:16:10,M15175,이지원,061-847-2722,Galaxy Note20,A2633,위험 감지,위치 정보 요청,0
2025-01-19 04:44:24,M73609,강민수,051-518-5343,iPhone 13,A2633,차단됨,마이크 사용,0
2025-05-30 08:04:57,M67344,박준영,042-624-9056,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-02-02 20:47:28,M83272,김정식,044-969-5105,Galaxy Note20,SM-G991N,정상,마이크 사용,0
2025-01-18 02:47:12,M48628,김진호,052-032-1875,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-07-03 00:43:02,M81137,오순자,051-272-9706,iPhone 13,LM-G910N,위험 감지,위치 정보 요청,0
2025-04-27 19:58:43,M74237,홍미숙,017-853-7826,Galaxy Note20,SM-G991N,위험 감지,정상,0
2025-02-05 20:09:55,M34874,김민석,064-797-9832,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-06-18 05:32:17,M84278,노민수,017-554-4899,Galaxy Note20,A2633,위험 감지,카메라 접근,0
2025-06-14 20:12:26,M34461,박현정,043-482-3453,iPhone 13,SM-G991N,차단됨,위치 정보 요청,0
2025-03-27 23:22:58,M81253,이상철,070-9521-9890,LG Velvet,LM-G910N,위험 감지,카메라 접근,0
2025-05-24 13:15:20,M55569,남정자,064-735-0832,iPhone 13,SM-G991N,위험 감지,카메라 접근,0
2025-01-30 02:54:49,M52425,김도현,032-605-8126,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-01-19 20:04:47,M71393,최재호,019-529-4030,Galaxy S21,SM-N986N,정상,정상,0
2025-06-14 19:23:32,M46087,배순옥,053-698-5175,Galaxy S21,SM-N986N,차단됨,정상,1
2025-01-02 02:17:20,M88470,최현정,042-636-0446,Galaxy S21,LM-G910N,차단됨,마이크 사용,0
2025-04-22 11:22:19,M82682,하민재,041-868-6123,iPhone 13,SM-G991N,위험 감지,위치 정보 요청,0
2025-06-11 04:11:34,M31016,김성수,019-356-4346,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-02-10 17:00:42,M19027,오재호,064-702-9792,Galaxy Note20,SM-G991N,정상,위치 정보 요청,0
2025-02-24 09:57:23,M79617,김서윤,042-115-5482,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-03-27 11:55:16,M30319,이동현,02-3977-8915,Galaxy S21,SM-N986N,차단됨,마이크 사용,1
2025-06-11 00:44:50,M68901,강예원,031-096-9304,iPhone 13,SM-N986N,차단됨,위치 정보 요청,1
